Overall Rating,Comments,Feedback Category
Satisfied,you need books about goal setting- dreaming big and other similar concepts,Products Offered/ Availability
Disappointed,Annoying to navigate site. Very limited suggestions. 7 popular books is not enough to entice me! Make the flier very easily available without having to search for it. This is the future of book fairs afterall isn't it??,Website- General Comment/Navigation
Satisfied,The survey interrupted my shopy,Website- Survey Pop Up Issue
Very Satisfied,I like the filter by grade level/reading level,Thanks/Praise
Neutral,need to find class school number,Connecting Teacher/Class Code
Satisfied,I ordered the books as a grandparent. I had to ask for help so I liked your online agent. I learned I can set up an account as a grandparent.  I would have liked a larger selection. The online selection was not as large as the flyers I've seen at my son's home. I did do some searches but those were limited in their responses.  Still a good program for the child and the teacher and school.,Products Offered/ Availability
Very Satisfied,"Start to finish easy to do on mobile, iPad and computer. Love the PayPal option!",Thanks/Praise
Very Satisfied,Awesome experience!!!,Thanks/Praise
Very Satisfied,"One book was low quantity so I couldn't order.  I am thankful it let me know, so my daughter wasn't waiting on it.",Thanks/Praise
Satisfied,worked flawlessly,Thanks/Praise
Very Satisfied,I love the feature of being able to type in the item code from the flyer to find the item. It made this experience so easy.,Thanks/Praise
Neutral,Great!!!,Thanks/Praise
Satisfied,I am waiting to see if other teacher's orders come in promptly this school year before I even consider ordering.,Intend To Order in Future
Neutral,I need to be able to look books up quickly just don't have a lot of time.  I started to look but time ran out (it was rest time in my classroom).,Website- Filter/Search Options
Satisfied,"I wish I could view both my parent and teacher view at the same time, but not that much of a big deal.",Website- General Comment/Navigation
Neutral,I am a parent not a teacher. I don’t know why my account says I’m a teacher. I would like to change it to only a parent.,Website- General Comment/Navigation
Very Disappointed,So very user unfriendly.,Thanks/Praise
Satisfied,I have some audio cd's for books but the books seem to not be available.,Products Offered/ Availability
Very Satisfied,"Great site, love purchasing books for my kiddo",Thanks/Praise
Neutral,I am just getting started entering the emails of the parents,Intend To Order in Future
Very Satisfied,I had a concern about my outstanding balance. Debbie helped me. She was very understanding and kind. Thank you.,Thanks/Praise
Satisfied,I would like to see the Baby Boutique digital flier with the others that show up on the splash page for PreK and up.,Products Offered/ Availability
Very Satisfied,The site was easy to navigate and enter my order with the item numbers. I also liked the way the site was organized and how I could search by age group.,Thanks/Praise
Very Satisfied,"Very easy to use, very pleased.",Thanks/Praise
Satisfied,Searching by item number can be tedious,Website- Filter/Search Options
Very Satisfied,Love scholastic books!,Thanks/Praise
Very Satisfied,Easy to navigate and find books from the paper catalog. Easy to find applicable free $5 books. Easy to make new account and check out. Plus I like the books go to class to be handed out. Thanks!,Thanks/Praise
Satisfied,"You have my name wrong I gave you my name yet you continue to show it as Deborah. It is Debra it’s always been Debra, maybe someone should proofread the info when given.",All Other
Very Satisfied,It was fast and easy.,Thanks/Praise
Disappointed,Don't have the books we want.,Products Offered/ Availability
Satisfied,Very nice site,Thanks/Praise
Satisfied,Looking for parent letter to send home with flyers,Website- General Comment/Navigation
Satisfied,The search feature disappeared after placing 7 items in cart,Website- Filter/Search Options
Very Satisfied,It took me a minute to figure out I was in a different site of this company,Website- General Comment/Navigation
Very Satisfied,Have not completed my order yet. Will complete after survey.,Website- Survey Pop Up Issue
Satisfied,I was able to use the chat function to fix an issue we experiences.,Thanks/Praise
Satisfied,I couldn't switch to the new book orders.   I could not email directly from the site due to having to allow Windows to be able to delete emails.,Website- General Comment/Navigation
Disappointed,I've had a lot of trouble with payments this last year. I paid with a credit card in September and it didn't completely process until this summer.,Account Balance/Payment
Very Satisfied,Judy was helpful with my questions.,Thanks/Praise
Satisfied,Should be able to explore the selection before adding it to the cart.,Website- General Comment/Navigation
Very Satisfied,Easy to move from my teacher account to my parent account.,Thanks/Praise
Satisfied,"In order an order I received today for a student, a book's cover was really mangled and their free choice book is missing. This is from order #69765286.  The DMZ#1 Scare of a Dare's cover was wrecked and The Monster Squad was missing. Is it possible to get a reshipment of those two books?",All Other
