WeekOf,OverallRating,Comments,FeedbackCategory
8/25/2022,Satisfied,"Not sure why you offer the Ready, Freddy books in Spanish, but not English.  I'll go to Amazon and get what I need.",Products Offered/Availability
8/25/2022,Very Satisfied,Good value,Thanks/Praise
8/25/2022,Disappointed,I wish there was an easier place to enter your child’s teacher’s code from the main page.,Connecting Teacher/Class Code
8/25/2022,Satisfied,I’d love to see a page or two of the book to determine if it is a good fit for my child.,All Other
8/25/2022,Neutral,forgotten password & scholastic finally helped me after 40 minutes of   struggling,All Other
8/25/2022,Disappointed,"These surveys come up to early,way befroe you get to finish browsing.",Interrupted by Survey Pop-up
8/25/2022,Satisfied,Your site gets better all the time.  Very easy to navigate.,Thanks/Praise
8/25/2022,Very Satisfied,Everything was easy and Great!!!!,Thanks/Praise
8/25/2022,Satisfied,I somehow kept closing out of the site rather than going to the previous page.,Website Performance/Navigation
8/25/2022,Neutral,I am unable to log into my teacher account. I need assistance.  My account was linked to Audrey.brooks@veneriniacademy.com. I changed jobs this summer and used my home email during the transition. My emus Audreybrooks66@gmail.com.  Venerini is located in Worcester ma on 27 Edward st. I have been unable to get in as a teacher and see my account to set up for the school year. I had a large amount of points saved and was going to get some supplies for the new year. I do not know my code as so much is still all boxed up. Please help. Thank you.,All Other
8/25/2022,Very Satisfied,Awesome!,Thanks/Praise
8/25/2022,Satisfied,I was just looking for books for my classroom and to use as birthday gifts for my students.,Thanks/Praise
8/25/2022,Disappointed,"Teachers should be able to request catalogs from the website with one click, without having to take the time to make a phone call.",Kits
8/25/2022,Disappointed,Dollar books didn’t show. We spend a lot of $ and it’s been rough with shipping and availability recently,Price
8/25/2022,Satisfied,Hoping this year shipping is hassle free.  Last year we waited 3-4 months for books.,Hopeful Shipping Improves this Year
8/25/2022,Very Satisfied,I LOVE Scholastic and my students LOVE new books!,Thanks/Praise
8/25/2022,Very Disappointed,I am a Eloise Kuhl’s Great Grandma,All Other
8/25/2022,Neutral,"Would like to see more Spanish books, somewhat hard to navigate through just trying to browse Spanish books",Website Filter/Search Options
8/25/2022,Disappointed,"It is so difficult to figure out how to add to cart. If your ultimate goal is to sell, the adding to cart should be the easiest thing for customers to do.",Website Performance/Navigation
8/25/2022,Very Satisfied,"Topics and book selections are very well organized. Also, I appreciate the book recommendations at the bottom of the page. Thank you for making age-appropriate, book ordering easy and convenient for parents!",Thanks/Praise
8/25/2022,Very Satisfied,I love this site,Thanks/Praise
8/25/2022,Satisfied,I have downloaded flyers to send home as I haven't received any paper flyers to send home yet. The paper flyers are the most effective in generation excited about books since we all tend to shop with our eyes!,Kits
8/25/2022,Disappointed,Your site advertises the READS coupon in several places but when I type it in it says it’s expired. You shouldn’t have it in so many places if it’s not valid.   Amanda woods  Aosborn1999@yahoo.com,Bonus Points/Rewards/Promos
8/25/2022,Satisfied,It took some time finding how to get into my child’s book fair (adding his teacher etc).,Connecting Teacher/Class Code
8/25/2022,Disappointed,i am no longer a teacher but cant seem to detach my teacher account from ordering for my kid.,Website Performance/Navigation
8/25/2022,Very Satisfied,We always love shopping with Scholastic! I love that you can order from Scholastic at any time and have it shipped right to your house! My kids always get Scholastic books for Christmas!,Thanks/Praise
8/25/2022,Very Satisfied,Thank you for providing new ways to save on purchasing books. Books are so vital to our students at school and at home!,Thanks/Praise
8/25/2022,Disappointed,Wanted to create a account but I couldn't unless I had a teacher info. I don't have a teacher info. I just want to create a account.,Connecting Teacher/Class Code
8/25/2022,Neutral,"Can’t figure out how to add a book to my cart. Browsing on my phone, maybe easier in a computer?",Website Mobile Compatibility
8/25/2022,Neutral,The item I wanted went up drastically in price.,Price
8/25/2022,Satisfied,"When I am viewing book/product details, and I press the back button, I don't always get the result I expect.  Sometimes it goes to a page *before* I selected the flyer I was viewing, rather than to the flyer view.  Sometimes it goes back to the book's quick view page.",Website Performance/Navigation
8/25/2022,Satisfied,I don't know if my order was submitted more than once because I had to come back to it for it to say submit order.,Website Performance/Navigation
8/25/2022,Satisfied,"I connected my teacher successfully. But I'm not sure if she is going to get benefit from my purchase today. If yes, I need to know what is the benefit she is getting in terms of points or books or any other.",All Other
8/25/2022,Very Satisfied,Easy peasy!,Thanks/Praise
8/25/2022,Very Satisfied,Super easy to create an account.,Thanks/Praise
8/25/2022,Satisfied,Just getting ready for the school year.,Thanks/Praise
8/25/2022,Very Satisfied,Very hard to scroll on phonr,Website Mobile Compatibility
8/25/2022,Disappointed,"My friend is able to receive a book a month for her students on her class.  I would like to do the same thing, but can’t find the way to do it.",Website Performance/Navigation
8/25/2022,Very Satisfied,"Easy to navigate, easily searchable, easy to shop!",Thanks/Praise
8/25/2022,Satisfied,It's a little confusing to navigate but I am always happy when the kids' books arrive and I see their smiles!,Thanks/Praise
8/25/2022,Neutral,I would like to check the books for 5th Grade and it was difficult.,Website Filter/Search Options
8/25/2022,Very Satisfied,My students and I love Scholastic!,Thanks/Praise
8/25/2022,Satisfied,"the shipping last year was horrendous, made me not want to do scholastic in my classroom",Hopeful Shipping Improves this Year
8/25/2022,Very Satisfied,"Very user friendly. Thank you! I will continue to recommend Scholastic Book Clubs to everyone as long as the content stays away from Critical Race Theory selections and features books for kids at their grade level and fun engaging content, not agenda pushing nonsense. Thank you very much!",Products Offered/Availability
8/25/2022,Very Satisfied,Too tired to place an order tonight and wondered when next book flyers coming out,All Other
8/25/2022,Satisfied,"Would be helpful to have the main search box auto-focus for entering multiple books in a row, as well as ""click out"" (click anywhere) to continue shopping.",Website Filter/Search Options
8/25/2022,Satisfied,"Didn't know there was a separate sub site, book club. Kinda hidden away.","Unfamiliar with Different Sites (BC, SSO, TSO etc)"
8/25/2022,Satisfied,Request to review cam before I had a chance to do anything,All Other
8/25/2022,Satisfied,The books I was looking for are no longer here. The Max lucado collection,Products Offered/Availability
8/25/2022,Very Satisfied,I didn’t get to finish what I was doing before this survey popped up.,Interrupted by Survey Pop-up
8/25/2022,Neutral,Difficult,Website Performance/Navigation
8/25/2022,Very Satisfied,"Very simple, easy to navigate to find books at the right level for my niece. First time on the site. No challenges.",Thanks/Praise
8/25/2022,Very Satisfied,It was very user friendly,Thanks/Praise
8/25/2022,Neutral,Browsing is a little challenging on a mobile device,Website Mobile Compatibility
8/25/2022,Very Satisfied,"It was smooth, the rewards were EXTREMELY helpful in helping to build my classroom library!",Thanks/Praise
